162,除痰、开噤、消疮、止血、涩肠、止泻、利咽、生津
163,止血、解毒
164,止血、定痛
165,凉血、利尿、通淋、生津、止血、清热
166,解毒、凉血、散血、化痰、止咳、清热
167,凉血、止血
168,解毒、止痛、消肿、清热
169,解毒、利湿、消肿、清热
170,除湿、解毒、通络、活血、清热、祛风
171,止咳、固精
172,补肾阳、益精气
173,祛风、解毒、利湿、清热
174,化痰、和胃、敛疮
175,消积、止泻、利湿
176,平喘、排石、利湿、通淋、止咳、清热
177,调经、利水、活血、清热
178,利湿、止血、清热
179,散瘀、解毒、敛疮、消肿
180,和中除烦止渴、益气
181,消痈、清热
182,生肌、解毒、散结、敛疮、止痛、清热
183,消积、解毒、明目、理气
184,理气活血止痛
185,除湿、解毒、敛疮、活血、消肿、清热
186,行气、活血
187,燥湿、清热
188,化痰、利尿、止咳、清热
189,行气、止咳、化湿
190,除湿、解毒
191,行气、开胃
192,止咳、润肺、生津
193,止痛、化痰、清热、祛风
194,补中、托毒、益气、消肿
195,逐饮、散结、化痰、消肿
196,利气、温中、化痰、散寒
197,续筋、解毒、接骨、利尿、消肿、止血、化瘀、清热
198,蚀腐、溃脓、消痈、杀虫
199,清热、解毒、镇咳
200,生肌、消肿、收敛、止血
201,凉血、止血
202,解毒、利湿、消肿、清热
203,解毒、凉血、消肿、清热
204,止咳、和血、散瘀
205,除湿、散瘀、活血、清热
206,止咳、散结、清肝
207,除湿、活血、止血、祛风
208,解毒、活血、止痛、消肿、止咳、清热
209,定惊、祛风
210,疏风、定惊
211,除湿、散瘀、止血、祛风
212,续伤、散瘀、活血、止痛
213,退黄、解毒、利湿、清热
214,活络、止痛、舒筋、祛风
215,清心、安神
216,除湿、解毒、活血、行气、消肿、祛风
217,散热、散风、调肠、调胃、宣肺气
218,利湿、清热
219,活血、止痛、散寒、祛风
220,除湿、祛风、解毒、清热
221,祛风湿、舒筋络
222,润肺、杀虫、止痒、清热
223,除湿、清肺、止咳、祛风
224,解毒、敛疮、收湿、清热
225,凉血、利湿、止血、清热
226,活血、养心、敛肺、涩肠
227,祛风湿、强筋骨、催乳
228,益气、补虚
229,定喘、止带、缩尿、敛肺
230,通络、活血、利湿、祛风
231,祛瘀、活血、散寒、祛风
232,除湿、活血、止痛、祛风
233,杀虫、燥湿、止血、止痒
234,止血、解毒
235,祛痰、通经络、解毒、镇痛、祛风
236,止痛、消肿
237,祛风湿、清湿热、止痛、化瘀
238,祛痰、解毒、止泻、杀虫、燥湿、止血
239,解毒、利水、通淋、清热
240,暖肾、温中、敛疮、涩肠、止血
241,润皮、润肤、解毒肿
242,疗疮、通络、止痒、祛风
243,活血、通络
244,除湿、散风、止痛、止咳
245,消食、开胃、温中、行气、化湿、止呕
246,安神、利湿、止血、清热
247,解暑、清热
248,解热、抗疟
249,解毒、消肿、清热
250,清肺、止咳、解毒、消肿
251,凉血、利尿、止血、清热
252,强筋、壮骨、益损、补虚
253,消暑、化湿、健脾
254,利小便、祛风湿
255,消瘀、祛湿、收涩、清热
256,祛湿、解毒、止血、清热
257,解毒、活血、止痛、清热
258,凉血、活血、止痛、止血、清热
259,解毒、活血、利湿、清热
260,利尿明目退翳、清热
261,滋阴、解毒、润燥、清肺、消肿、补肾
262,润肺、止咳、和胃、健脾
263,利湿、清热
264,平喘、利湿、止血、清热
265,除烦、解渴、退热、消暑
266,润肺、止泻、化痰、生津、止血、解热
267,散瘀、解毒、止痛、化湿、和胃、清热
268,敛汗、止血、补虚
269,益血、补气、止痛、杀虫
270,行气、活血、通乳
271,利湿、解毒、清热
272,利湿、解毒、清热
273,止渴、补虚、清热
274,除湿、平喘、通络、活血、祛风
275,利咽、祛痰、解毒、活血、利湿、清热
276,解毒、利水、止痛、通淋、清热、祛风
277,祛风、解毒、利尿、清热
278,除湿、通经、活络、定惊、搜风、止痛
279,凉血、清热
280,宁心、安神、润肺、清热
281,安神、润肺、养阴、清心
282,消积、止血、清毒散火
283,润肺、杀虫、灭虱、止咳
284,散瘀、生肌、接骨、活血
285,止痛、消肿、止血、化瘀
286,温脾、平喘、止泻、纳气、助阳、补肾
287,散瘀血、续筋、祛风湿、续骨
288,利湿、明目、止血、清热
289,解毒、清热
290,解毒、清热
291,和湿、通淋、清热、祛风
292,止渴、填骨髓、润肺、通血脉
293,止渴、解毒、清热
294,解毒、利尿、清热
295,散瘀、止痛、化痰、消痞
296,止渴、解毒、利尿、清热
297,散瘀、解毒、止咳、清热
298,除湿、通经、活血、止痛、化瘀、祛风
299,利咽、活血、止咳、理气
300,解毒、敛疮、活血、消肿
301,散结、消肿、收涩、止痒
302,通乳、益气
