ID,名称,别名,性味,归经,功效,主治,entity,摘自
68100,青藤子,牛腿虱、 鸡骨香、 蟹鱼胆藤,凉、苦, ,生肌、拔脓、清湿热,['痢疾：花3～5钱，水煎冲蜜糖1两服'],痢不止,全国中草药汇编
68200,青棉花藤,青棉花,温、苦、辛, ,祛风、止痛、除湿、散瘀、接骨,"['腰腿酸痛，风湿麻木', '跌打损伤，骨折，外伤出血']",腰腿疼痛 寒湿 麻木 跌打损伤 出血,全国中草药汇编
68300,雀瓮,黄刺蛾成虫名、 枣刺蛾、 刺毛虫、 洋辣子、 天浆子、 枣八角, , ,清热、定惊,['治小儿惊风，痢疾'],小儿惊痫 痢不止,全国中草药汇编
68400,人中白,missing,寒、咸,肝、膀胱、三焦,清热、止血、解毒、祛瘀、热解毒,['咽喉肿痛，牙疳口疮，咯血、衄血等症'],咽喉肿痛 疳 口烂 咯血 衄血,全国中草药汇编
68500,润肺草,地饼、 短梗藤, , ,润肺、止咳,[''],,全国中草药汇编
68600,山芝麻,大山麻、 石秤砣、 山油麻、 坡油麻,寒、苦、甘、毒, ,清热、止咳、解毒、热解毒,"['感冒高烧，扁桃体炎，咽喉炎，腮腺炎，麻疹，咳嗽，疟疾', '毒蛇咬伤，外伤出血，痔疮，痈肿疔疮']",感冒 丹疹 咳嗽 疟 出血 痔疮 痈 疔疮,全国中草药汇编
68700,山土瓜,山红苕、 野红苕四川、 土瓜、 红土瓜,平、甘、淡, ,健脾、消积、利湿,"['小儿疳积，乳汁缺乏，肝炎，白带', '烧烫伤']",小儿疳 带下,全国中草药汇编
68800,山藤藤秧,野葡萄、 山葡萄,凉、酸, ,祛风、止痛,['外伤痛，风湿骨痛，胃痛，腹痛，神经性头痛，术后疼痛'],寒湿 骨疼 肚腹痛 头痛 疼痛,全国中草药汇编
68900,山梅花,毛叶木通,平、甘、淡, ,清热、利湿,['膀胱炎，黄疸型肝炎'],黄疸,全国中草药汇编
69000,山莓,三月泡湖南、 四川、 五月泡广东、 刺葫芦、 吊杆泡、 薅秧泡、 黄莓、 大麦泡、 猪母泡、 高脚泡,凉、平、苦、涩, ,祛风、活血、止血、利湿、风利湿,['吐血，便血，肠炎、痢疾，风湿关节痛，跌打损伤，月经不调，白带'],吐血不止 大便后下血 痢不止 寒湿 跌打损伤 月经不调 带下,全国中草药汇编
69100,山蚂蝗,逢人打、 扁草子,平、苦, ,祛风、消肿、活络、解毒、解毒消,['跌打损伤，风湿性关节炎，腰痛，乳腺炎，毒蛇咬伤'],跌打损伤 寒湿 腰痛,全国中草药汇编
69200,山萝花,missing, , ,清热、解毒、热解毒,['痈肿 疮毒'],痈,全国中草药汇编
69300,山橘,金豆、 猴子柑,温、苦、甘、辛、酸, ,醒脾、行气,['果：宽中化痰下气'],,全国中草药汇编
69400,山茶花,茶花,寒、苦、辛, ,收敛、凉血、止血,"['吐血，衄血，便血，血崩', '烧烫伤，创伤出血']",吐血不止 衄血 大便后下血 血崩  出血,全国中草药汇编
69500,山兵豆,missing,平、涩, ,收敛、止泻、消炎,['痢疾，肠炎，肠结核，肝炎，肾炎，小儿疳积'],痢不止 小儿疳,全国中草药汇编
69600,三叶青,金线吊葫芦、 丝线吊金钟、 三叶扁藤、 石老鼠、 小扁藤、 石猴子、 土经丸、 三叶对,平、苦, ,祛风、止痛、清热、活血、解毒、化痰、热解毒,['治疗小儿高热惊厥、痢疾、支气管炎、肺炎、咽喉炎、肝炎及病毒性脑膜炎'],痢不止,全国中草药汇编
69700,三分丹,蛇花藤,平、甘、辛、毒, ,止痛、祛瘀,['跌打损伤，风湿痛'],跌打损伤 寒湿,全国中草药汇编
69800,三方草,白郎苔、 亚大苔草,平、苦、甘, ,止痛、理气、驱风、除湿,['小儿夜哭，风湿骨痛'],寒湿 骨疼,全国中草药汇编
