ID,名称,别名,性味,归经,功效,主治,entity,摘自
100,杜鹃花根,翻山虎、搜山虎,平、温、甘、辛、酸、毒,肝、肾、大肠,祛风、止痛、涩肠、止血、止泻、和血,吐血、衄血、月经不调、崩漏、肠风下血、痢疾、风湿疼痛、跌打损伤,吐血不止 衄血 月经不调 崩中漏下 肠风 月经过多 痢不止 寒湿 疼痛 跌打损伤,"《浙江民间常用草药》,《采药书》,《草木便方》,《分类草药性》,《贵州民间方药集》,《江西草药》"
200,六轴子,土连翘、山芝麻、闹羊花子、天芝麻、羊踯躅果,温、苦、毒,肝,祛风、止痛、消肿、散瘀,风寒湿痹、历节疼痛、跌打损伤、痈疽疔毒,寒邪 湿痹 痛风 疼痛 跌打损伤 痈 疔毒,"《百草镜》,《饮片新参》"
300,太白参,太白洋参、黑洋参,温、苦、甘,脾、肾,和胃、健脾、滋阴、补肾,身体虚弱、肾虚骨蒸、纳呆,肌体羸瘦 肾虚 骨蒸潮热,"《北方常用中草药手册》,《陕西中草药》"
400,海浮石,水花、海石、水泡石、浮海石、浮水石、羊肚石,寒、平、咸、毒,肝、肺、肾,软坚、通淋、清肺、化痰、清肺火,痰热喘嗽、老痰积块、题瘤、瘰疬、淋病、疝气、疮肿、目翳,痰热 喘嗽 痰盛 瘰疬 淋 疝气 疮疥,"《本草从新》,《本草拾遗》,《日华子本草》,《本草衍义》,《纲目》,《本草正》"
500,鳖胆,missing,寒、咸,大肠,凉血,痔漏,痔漏,《本草纲目》
600,赤小豆芽,missing,平、甘,肝、肾、大肠,清热、凉血,便血、妊娠胎漏,大便后下血 胎漏,《本草纲目》
700,樗叶,missing,温、苦、毒,肺,解毒、杀虫,疮疥、风疽,疮疥,《本草纲目》
800,慈竹箨,慈竹笋壳,寒、甘,肺、脾、心,祛风、凉血、止血、解毒,犬(咬)伤、发热、疮疡,遍身壮热 疮疥,《本草纲目》
900,鸱骨,missing,凉、咸,肺、肾,滋阴、泻火,鼻衄,鼻衄,《本草纲目》
1000,枫香树叶,missing,平、苦、辛、毒,肝、脾、肾, ,missing,,《本草纲目》
1100,胡桃壳,missing,平、苦,肝、心,疗痈、杀疥、活血、行气、解毒、疗癣,血崩、乳痈、疥癣,血崩 乳痈,《本草纲目》
1200,驴阴茎,驴鞭、驴三件、驴肾,温、咸、甘、毒,肝、肾,强筋、益肾,阳萎、筋骨酸软、骨结核、骨髓炎、气血虚亏、妇女乳汁不足,气血虚 乳汁不足,《本草纲目》
1300,猫头,missing,温、甘、酸、毒,肺、大肠,消瘰、疗疮,瘰疬、痈疽、恶疮、痔疾,瘰疬 痈 疮疥 痔疮,《本草纲目》
1400,榆叶,missing,寒、平、甘、毒,脾、胃,除烦、清热、消肿、利水,失眼症、水肿,水肿,《本草纲目》
1500,益母草花,missing,平、苦、甘,肝、肺,敛疮、活血、解毒、祛瘀、活血祛,肿毒疮疡、妇人胎产诸病,肿毒 疮疥,《本草纲目》
1600,赤链蛇,赤链、赤楝蛇、桑根蛇、火赤炼、火练蛇、火赤链蛇、红斑蛇,平、咸、涩,脾、心,敛疮、生肌,慢性痿管及溃疡,下肢溃疡,《本草纲目》 
1700,肥皂核,肥皂子,温、甘、毒,肺、心、大肠,止咳、润肠、化痰、通便,吐顽痰、风秘、便秘、疮、癣、痢疾,大便结燥 痢不止,《本草纲目》 
1800,胡萝卜子,missing,凉、苦,肺、大肠,平喘、解毒、止痢、化痰,肺热痰喘、久痢,气怒肺热 痰喘 久痢,《本草纲目》 
1900,油胡桃,missing,热、辛、毒,肝,疥癣、杀虫、攻毒,missing,,《本草纲目》 
2000,柘耳,柘黄, ,肺,疗痈、解毒,missing,,《本草纲目》 
2100,鳖脂,鳖膏、鳖油,温、咸、甘,肝、肾,养血、补精,虚证,,"《本草纲目》,《本草蒙筌》,《现代实用中药》?"
2200,大丁草,烧金草、豹子药、苦马菜、米汤菜、鸡毛蒿、白小米菜、踏地香、龙根草、翻白叶,温、苦、毒,肺、脾,祛风、解毒、祛风湿,风湿麻木、咳喘、疔疮,寒湿 麻木 咳喘 疔疮,"《本草纲目》,《贵州民间药物》,《贵州草药》"
2300,鹅臎,鹅尾罂,温、辛,脾、肾、胃,补肝,盯耳、耳聋、手足皴,耳聋,"《本草纲目》,《日华子本草》"
2400,胆星,胆南星,凉、苦、辛,肝、肺、心、胆,清火、定癎、镇惊、化痰,中风痰迷、惊风癫癎、痰火喘嗽、头风眩晕,中风 痰迷 惊风 痰火 喘嗽 偏正头风 眩晕,"《本草纲目》,《药品化义》,《本草汇言》,《本草正》"
2500,慈姑叶,missing,寒、苦、甘、辛、毒,脾、心,消肿、解毒,疮肿、丹毒、恶疮、虫咬性皮炎,疮疥 丹毒 疮疥 皮炎,《本草纲目》?
2600,桑鳸,桑扈、青雀、窃脂、蜡嘴雀、蜡嘴,温、甘、毒,脾、胃,益气、生肌,虚损赢瘦,元气虚惫,《本草纲目》?
2700,车螯,蜃、昌娥,寒、平、咸、甘、毒,肺、脾,消肿、解毒、解毒消,痈疽肿毒,痈 肿毒,《本草纲目拾遗》
2800,豉虫,豉母虫,毒,脾、心,蚀肉、疗疮,疮痈,痈,《本草纲目拾遗》
2900,臭梧桐根,芙蓉根,寒、平、苦、毒,肝、脾、心,除疾、祛风、除湿、消肿、消积、解毒、疗疳、散瘀、疗疮、截疟、导滞,疟疾、风湿痹痛、高血压、食积饱胀、小儿疳疾、跌打损伤,疟 寒湿 食积 饱胀 小儿疳 跌打损伤,《本草纲目拾遗》
3000,貂尾,黑貂、栗鼠、貂鼠、松狗,平、甘,肺,活血、散瘀,冻疮,,《本草纲目拾遗》
3100,淡竹壳,淡竹箨,寒、苦,肝,清肝、明目,眼疾病,,《本草纲目拾遗》
3200,淡竹根,恒生骨,甘、毒,肺、心,除烦、清心、祛痰、清肺,缺乳,,《本草纲目拾遗》
3300,鹅喉管,missing,平、甘,肺,清热、解毒、热解毒,喉痹、哮喘、赤白带下,咽喉肿痛 哮喘 赤白带下,《本草纲目拾遗》
3400,鹅蛋壳,missing,平、甘、淡,肺,清热、解毒、热解毒,痈疽无头,痈,《本草纲目拾遗》
3500,鲎尾,missing,平、咸,肝、肾、大肠,清肠、活血、止痢、疏风,痢疾、崩漏,痢不止 崩中漏下,《本草纲目拾遗》
3600,节瓜,missing,甘、淡,肺、脾、小肠,健脾、止渴、利湿、生津,消渴、水肿,消渴 水肿,《本草纲目拾遗》
3700,柑皮,广陈皮、新会皮、陈柑皮,寒、甘、辛、毒,脾、胃,醒酒、调中、下气、化痰,病后饮食失调、上气烦满、伤酒口渴,上气 烦满 伤酒 口干,《本草纲目拾遗》 
3800,米露,missing,平、甘,肺、脾、胃,补脾、养胃,脾胃虚弱、食少、便溏、神疲乏力等症,脾胃虚弱 饮食不下 大便时溏 精神不守 多倦,《本草纲目拾遗》 
3900,万年青花,missing,平、甘、辛,肝、肾,补肾、活血、强腰、祛瘀、活血祛,肾虚腰痛、跌打损伤,肾虚腰痛 跌打损伤,《本草纲目拾遗》 
4000,海鹞鱼,善赐鱼、邵阳鱼、石烦、少阳鱼、荷鱼、鲍鱼、踊勋鱼、蒲鱼、锅盖鱼,寒、平、咸、甘、毒,肾,清热、泄浊、利湿,体虚、男子白浊冒淋、玉茎涩痛,肌体羸瘦 小便浊败 淋 涩,"《本草纲目拾遗》,《本草拾遗》,《本草纲目》,《魏武食制》,《岭表录异》,《本草求原》"
4100,苦竹笋,missing,寒、苦、甘、毒,肝、肾,清热、除湿、利水、明目,消渴、面目黄、脚气、中风失音,消渴 风湿脚气 中风 失音,"《本草纲目拾遗》,《本草拾遗》,《食疗本草》,《食医心镜》,《食物本草》,《纲目》"
4200,桂花,木犀花、九里香、岩桂、桂,温、辛,肝、肺、大肠,散瘀、化痰,痰饮喘咳、肠风血痢、疝瘕、牙痛、口臭,痰饮 咳喘 肠风 血痢 齿痛 口臭,"《本草纲目拾遗》,《纲目》"
4300,鷩雉,赤鷩、采鸡、锦鸡、金鸡,温、甘、辛、毒,脾,温中、补脾,中焦虚寒、呕吐腹痛,中焦 虚寒 干呕 肚腹痛,"《本草纲目拾遗》,《纲目》,《禽经》,《尔雅》,《逸周书》"
4400,都咸子,都咸树、檟如树、心果树,平、甘、毒,肺,除烦、润肺、止咳、止渴,咳逆、心烦、口渴,咳逆 心神多躁 口干,"《本草纲目拾遗》,《南方草木状》,《本草拾遗》"
4500,买麻藤,买子藤、驳骨藤、大节藤、乌骨风、麻骨风、黑藤、鸡节藤、鹤膝风、小木米藤、脱节藤、竹节藤、接骨藤,温、苦,肝、肺,祛风、除湿、止咳、活血、散瘀、化痰,跌打损伤、风湿骨痛、鹤膝风风寒咳嗽,跌打损伤 寒湿 骨疼 鹤膝风 寒邪 咳嗽,"《本草纲目拾遗》,《职方典》,《南方主要有毒植物》"
4600,扶栘木皮,missing,平、苦、毒,肝、脾、心,活血、止血、杀虫、止痒、疏风,风疹、皮肤瘙痒、血崩,风疹 皮肤瘙痒 血崩,"《本草纲目拾遗》,崔豹《古今注》,《本草拾遗》"
4700,石荠苧,鬼香油、小鱼仙草、香茹草、野荆芥、痱子草、土荆芥、野香茹、热痱草、香草、野芥菜、白鹤草、天香油、五香草、土茵陈、紫花草,凉、温、苦、辛、毒,肺、脾、大肠,祛风、清暑、补肺、消肿、解毒、益脾、祛风湿、清暑热,暑热痧症、衄血、血痢、感冒咳嗽、慢性气管炎、痈疽疮肿、风疹、热痱,衄血 血痢 感冒 咳嗽 痈 疮疥 风疹,"《本草纲目拾遗》,汪连仕《采药书》,《植物名实图考》"
4800,石榴根,石榴根皮、酸榴根,温、苦、涩、酸、毒,脾、胃、大肠,涩肠、止带、杀虫,蛔虫、绦虫、久泻、久痢、赤白带下,蛔虫 久泻 久痢 赤白带下,《本草经集注》
4900,大麦,麰、倮麦、麰麦、牟麦、饭麦、赤膊麦,寒、凉、平、咸、甘、毒,脾、胃,和胃、宽肠、利水,食滞泄泻、小便淋痛、水肿、烫火伤,食滞 痢不止 小便频涩痛 水肿,"《本草经集注》,《本草衍义》,《别录》,《唐本草》,《崔禹锡食经》,《本草拾遗》,《纲目》"
5000,柏脂,柏油,平、甘,肝、心,除湿、杀疥、解毒、泻火、疗疮、疗癣,疥癣、癞疮、秃疮、黄水疮、丹毒,癞疮 丹毒,"《本草经集注》,《纲目拾遗》"
5100,燕窠土,胡燕案内土、燕窠泥、燕窝泥、燕子泥,毒,脾,祛风、解毒、杀虫、止痒,风瘙瘾疹、浸淫湿疮、白秃、丹毒、口疮,搔痒 瘾疹 湿疮 丹毒 口烂,《本草蒙筌》
5200,鳖卵,missing,寒、咸,肾、大肠,养阴、清肠,腹泻、痢疾,腹泻 痢不止,"《本草蒙筌》,《纲目》,《医林纂要》"
5300,神仙掌花,玉英,平、辛,脾、心,活血、止血,吐血、衄血、中焦出血者,吐血不止 衄血 中焦 出血,《本草求原》
5400,丝瓜蒂,missing,寒、甘,肝、心,清热、疏风,小儿痘、咽喉肿痛,咽喉肿痛,"《本草求原》,《学圃杂疏》"
5500,刺桐花,鹦哥花,凉、苦,肝,清热、凉血、止血、解毒、热解毒,痈疽疔疮、金疮、蛇虫咬伤、刀伤出血、痔、便血,痈疽疔疮 破伤风 出血 大便后下血,《本草图经》
5600,红药子,红药、赤药、朱砂七、黄药子、朱砂莲、猴血七、血三七、毛葫芦,凉、苦、涩,肝、脾、胃、大肠,抗菌、止痛、凉血、解痉、补肾、活血、止血、健胃、止泻、镇静、消炎、顺气,扁桃体炎、肠炎、胃炎、溃疡病、菌痢、胆道蛔虫症、外伤感染、蜂窝织炎、痈疖、脓痂疹、泌尿系感染、月经不调、崩漏、外伤出血、吐血、衄血、便血、跌打损伤、风湿腰腿痛,下肢溃疡 痢不止 蛔虫 痈 疖 丹疹 月经不调 崩中漏下 出血 吐血不止 衄血 大便后下血 跌打损伤 寒湿 腿疼,《本草图经》
5700,榅桲皮,榅桲木皮,平、酸,肝,敛疮、收湿,黄水疮,,《本草图经》
5800,龙船花茎叶,missing,平、温、咸、甘,脾、肾,健脾、止痛、消肿、活血、安胎、祛瘀、活血祛,跌打损伤、疮疖痈肿、胎动不安,跌打损伤 疖 痈 动胎,《本草图经》 
5900,柽柳,柽、河柳、殷柽、雨师、赤杨、人柳、赤柽、三春柳、春柳、三眠柳、长寿仙人柳、观音柳、雨丝、蜀柳、垂丝柳、亦柳、西河柳 、赤柽柳、西湖柳、红筋条、山川柳、红柳,凉、平、苦、咸、甘、毒,肝、肺、心、胃,祛风、除湿、解表、止咳、散寒、消痞、解酒、疏风、透疹,麻疹难透、风疹身痒、感冒、咳喘、风湿骨痛,丹疹 风疹 遍身瘙痒 感冒 咳喘 寒湿 骨疼,"《本草图经》,《本草汇言》"
6000,火炭母草,火炭毛、乌炭子、运药、山荞麦草、黄鳝藤、晕药、乌白饭草、火炭星、鹊糖梅、赤地利、乌饭藤、水沙泔子、鸪鹚饭、水退痧、红梅子叶、白饭草、大叶沙滩子、老鼠蔗,凉、甘、酸,肝、肺,清热、凉血、解毒、利湿,泄泻、痢疾、黄疸、风热咽疼、虚弱头昏、小儿疰夏、惊搐、妇女白带、痈肿湿疮、跌打损伤,痢不止 痢不止 黄疸 热毒 咽喉肿痛 元气虚惫 头目眩晕 带下 痈 湿疮 跌打损伤,"《本草图经》,《生草药性备要》,《岭南采药录》"
6100,红娘子,樗鸡、灰花蛾、红娘虫、么姑虫、红女、红姑娘,平、苦、辛、毒,肝、胃,破积、活血、祛瘀、攻毒、活血祛,外用瘰疬、癣疮；内服血瘀经闭、血蛊、目生云翳、狂犬咬伤,瘰疬 癣疮 月经不通 血蛊 翳膜,"《本草图经》,《唐本草》,《本草衍义》,《纲目》"
6200,人指甲,手爪甲、人退、筋退,平、温、咸、甘、毒,肝、脾,消翳、去瘀、止血、解毒、明目、消炎、解毒消,鼻衄、尿血、喉蛾、目生翳障、中耳炎,鼻衄 小便尿血 生翳,《本草衍义》
6300,猬胆,missing,凉、苦,肝、胆,止泪、明目,风眼,,《本草衍义》
6400,黄桷根,黄葛根,温、热、苦、涩、酸、毒,肝、肾,祛风、去瘀、通经、除湿,风湿痹痛、四肢麻木、肿满、跌打损伤、疥癣,寒湿 四肢麻痹 肿满 跌打损伤,《草木便方》
6500,地柏枝,地柏、油面风、铺地金牛、百叶草、烂皮蛇、岩柏草、石柏、岩柏枝、孔雀毛、土黄连、石金花,平、甘、辛、淡、毒,肝、肺、胆,清热、镇惊、解毒、利湿,吐血、痔血、便血、血崩、创伤出血、黄疸、淋病、小儿惊风,吐血不止 痔疮 大便后下血 血崩  出血 黄疸 淋 小儿惊痫,"《草木便方》,《本草图经》"
6600,刺梨叶,missing,凉、苦,肺,解毒、泻火,金疮、疥疮,破伤风,"《草木便方》,《贵阳民间药草》"
6700,风箱树叶,风箱树、水杨梅、珠花树、鸡仔木、马烟木、水抱木、大叶水杨梅、假番桃 ,凉、平、苦、淡、毒,肺、心,清热、解毒、止痒、收湿、湿止痒、热解毒,皮肤痒疮、口疮、天泡疮、烂脚趾、跌打损伤、牙痛、痢疾、肠炎、洗疮癞、外痔、敷脚趾烂、水渍指伤、清热解毒枝、叶：煎浓汁或捣盐填患处、或含漱风火牙痛；叶：外敷皮肤疮痒、 止血生肌、杀虫止痒、消肿拔毒,口烂 跌打损伤 齿痛 痢不止 风疮,《草药手册》 
6800,水芙蓉,麻雀草、水管筒、三叉草、水薄荷、软骨倒水莲,凉、涩、辛、淡,肺,清热、消肿、解毒、止痒、热解毒,疮痈肿毒、毒蛇咬伤、感冒、瘙痒,痈 肿毒 感冒 瘙痒,《常用中草药手册》
6900,苍白秤钩风,穿墙风,寒、苦,肝、脾、肾,祛风、清热、除湿、解毒、热解毒,风湿骨痛、尿路感染、毒蛇咬伤,寒湿 骨疼,《常用中草药手册》 
7000,赤阳子,救军粮、赤果、纯阳子、火把果、红子、救兵粮、水沙子,平、涩、甘、酸、毒,肝、脾、胃,健脾、活血、止血、消积,痞块、食积、泄泻、痢疾、崩漏、产后血瘀,痞积 食积 痢不止 痢不止 崩中漏下 产后 血瘀,《滇南本草》
7100,草果药,野姜、独叶台、四合红、草果,温、苦、辛,肝、胃,温中、理气、燥湿、消食,胃寒疼痛、食积腹胀、寒疝、疟疾,疼痛 食积 心腹胀 寒疝 疟,《滇南本草》
7200,赤地榆,隔山消、紫地榆,寒、凉、温、苦、涩、酸,肝、脾、胃、膀胱,止痛、涩肠、活血、止血、消炎,肠炎、痢疾、脘腹疼痛、内出血、鼻衄、便血、月经过多、产后流血、跌打损伤,痢不止 腹疼 出血 鼻衄 大便后下血 月经过多 产后崩中下血 跌打损伤,《滇南本草》
7300,鹅掌上黄皮,missing,平、甘,脾,除湿、疗疮,黄水疮、冻疮,,《滇南本草》
7400,狗屎花,一把抓、蓝狗屎花、蓝布裙、附地菜、牛舌头花、狗舌花、龙须草、七星箭、六肥根、莲子叶、绿花心、绿花叶、蓝花参,凉、苦,肝、肺、肾,止血、清肺、化痰,咳嗽、吐血、瘰疬、刀伤、失音、狂犬咬伤,咳嗽 吐血不止 瘰疬 失音,《滇南本草》
7500,马皮,missing,温、甘、辛,肺、脾,祛风、止痒,小儿赤秃、牛皮癣,,《滇南本草》
7600,稻草,稻穰、稻藁、稻杆、禾秆,平、温、热、甘、辛、毒,肺、脾,宽中、活络、下气、温经、消食,泄泻、腹痛、呕吐、伤食、月经不调、跌打损伤,痢不止 肚腹痛 干呕 月经不调 跌打损伤,"《滇南本草》,《本草拾遗》,《本草再新》 "
7700,苹果,柰、频婆、柰子、平波、超凡子、天然子,寒、凉、苦、涩、甘、酸、毒, ,除烦、醒酒、润肺、解暑、开胃、生津,咳嗽、心气不足、脾胃气虚、子宫下垂、胃下垂、痢疾、四肢无力,咳嗽 心气不足 痢不止 肢节无力,"《滇南本草》,《纲目》 "
7800,还阳参,天竺参、万丈深、竹叶青、独花蒲公英、铁刷把、有根无叶,平、温、苦、甘,肺、脾、肾、胃,和胃、健脾、益气、补肾、壮阳、止带、补血、固经,性神经衰弱、妇人宫冷不孕、白带漏下、头晕耳鸣、心慌怔忡、小儿消化及营养不良,精神不守 不育 带下 漏血不止 眩晕 耳内虚鸣 心慌 怔忡不宁,"《滇南本草》,《文山中草药》 "
7900,黑龙江野豌豆,透骨草,平、甘,肝、肾,祛风、止痛、除湿、活血,风湿疼痛、筋骨拘挛、无名肿毒、阴囊湿疹、跌打损伤,寒湿 疼痛 四肢急掣 无名肿毒 急性湿疹 跌打损伤,《东北草本植物志》
8000,毛脉酸模,missing,寒、苦,肺、心,清热、燥湿、解毒、杀虫、热解毒,痈疮肿毒、疥癣,痈 疮疥,《东北草本植物志》
8100,刺玫花,missing,平、甘、酸,肝、脾,调经、止血,月经过多,月经过多,《东北常用中草药手册》
8200,山野豌豆,宿根巢菜、落豆秧、山豌豆、山豆苗、宿根草藤、豆碗碗、涝豆秧、山黑豆、透骨草、草藤,平、温、苦、甘、毒,肝、膀胱,止痛、蠲痹、活络、舒筋,风湿痛、闪挫伤、无名肿毒、阴囊湿疹,寒湿 闪挫 无名肿毒 急性湿疹,"《东北药植志》,《吉林中草药》,《东北常用中草药手册》"
8300,长白茶藨,missing,平、辛,肺,发汗、解毒,感冒、发热、头痛,感冒 遍身壮热 头痛,《东北植物检索表》
8400,鹅脚板,苦爹菜、八月白、铁铲头、大叶半边莲、三脚蛤蟆、犁头草、香草、金锁匙、白花仔、六月寒、蛇咬草、羊膻草,温、苦、甘、辛、毒,肺、胃、大肠,消肿、散寒、化积、祛瘀,感冒风寒、痢疾、小儿疳积、皮肤瘙痒,感冒 痢不止 小儿疳 皮肤瘙痒,《峨眉药植》
8500,簝叶竹根,金佛山赤竹、簝叶竹	,凉、甘、毒,肝、脾,健脾、益气、补血,妇女崩漏、脾气虚出血,崩中漏下 出血,"《分类草药性》,《重庆草药》"
8600,楮树根,彀树子根、彀木蔃	,寒、平、涩、甘、毒,肝、肺、心,清热、凉血、利湿、祛瘀,咳嗽吐血、水肿、血崩、跌打损伤,咳嗽 吐血不止 水肿 血崩 跌打损伤,《分类草药性》?
8700,苞蔷薇根,猴局根、金柿根、硕苞蔷薇、苞蔷薇、猴柿、刺柿、大红袍、野毛栗、七姊妹、圆刺菱、毛刺头、糖钵、山麻栗子、糖球子,温、甘,脾、肾,健脾、补肾,疝气、遗精、脚气、下肢水肿、风湿痛、月经不调、子宫脱垂,疝气 风湿脚气 水肿 寒湿 月经不调 子宫不收,《福建民间草药》
8800,梵天花根,missing,平、温、苦、甘、淡、毒,肝、肺、脾、肾、心、胃,健脾、温中、止咳、活血、补脾、散瘀、化痰,风湿关节炎、劳伤脚弱、水肿、疟疾、痛经、白带、跌打损伤、痈疽肿毒,寒湿 冲任不固 脚弱 水肿 疟 经前腹痛 带下 跌打损伤 痈 肿毒,《福建民间草药》
8900,扛板归根,missing,凉、苦,心、大肠,消肿、解毒、解毒消,对口疮、痔疮痿管、疥癣奇痒,口烂 痔疮,《福建民间草药》
9000,野甘草,香仪、珠子草、假甘草、土甘草、假枸杞、四时茶、冰糖草、通花草、节节珠 ,凉、平、甘、毒,肺、脾、大肠、膀胱,清热、止咳、解毒、利湿、清肺、疗疮,肺热咳嗽、暑热泄泻、脚气浮肿、小儿麻疹、湿疹、热痱、喉炎、丹毒,气怒肺热 咳嗽 痢不止 风湿脚气 浮肿 丹疹 急性湿疹 丹毒,《福建民间草药》 
9100,吊竹梅,水竹草、金瓢羹、白带草、吊竹菜、紫背金牛、血见愁、鸡舌黄、红舌草、红竹仔草、花叶竹夹菜、二打不死、百毒散、鸭舌红、红鸭跖草,寒、甘、毒,肺,清热、止血、止带、解毒、热解毒,咳嗽吐血、淋病、白带、痢疾、痈毒、急性结膜炎,咳嗽 吐血不止 淋 带下 痢不止 痈,"《福建民间草药》,《南宁市药物志》,《广西中草药》 "
9200,刺叶楤木,长刺楤木、鸟不企、鸡云木、鹰不扒、雷公木,温、苦、辛,肝、脾,续筋、祛风、益气、活血、止血、散寒、解毒、补中、消炎、接骨,风寒头痛、风湿痹痛、头晕、吐血、血崩、跌打损伤、骨折、淋巴腺炎、疖痛骨髓炎,寒邪 头痛 寒湿 眩晕 吐血不止 血崩 跌打损伤 淋 疖,《福建师范学院学报》
9300,穿根藤,春根藤、木头疳、崧根藤、伸筋藤、石邦子, , ,祛风、止痛、筋骨、消肿、壮筋、祛风湿,风湿关节痛、咽喉肿痛、痈肿、疥疮,寒湿 咽喉肿痛 痈,《福建中草药》 
9400,二色补血草,燎眉蒿、补血草、扫帚草、匙叶草、血见愁、秃子花、苍蝇花、白花菜棵,平、温、苦、涩、甘、淡、毒,脾、胃,调经、止血、健胃、补血、益脾、散瘀,崩漏、尿血、月经不调,崩中漏下 小便尿血 月经不调,"《甘肃中草药手册》,《北方常用中草药手册》,《陕甘宁青中草药选》"
9500,白苣,生菜、石苣、千层剥,寒、平、苦、毒,胃,清热、解渴、筋骨、解毒、解酒、生津、热解毒、补筋骨、解酒毒,热毒、疮肿、口渴,热毒 疮疥 口干,"《纲目》,《植物名实图考》,《千金·食治》"
9600,刺李,茶茹,平、酸,肝,柔肝、养阴、健胃,萎缩性胃炎、胆汁缺乏病,,《高原中草药治疗手册》
9700,多茎野豌豆,missing,平、辛,肝、胆,止痛、除湿、发汗、活血,风湿疼痛、筋骨拘挛、黄疸肝炎、白带、鼻血、热疟、阴囊湿疹,寒湿 疼痛 四肢急掣 黄疸 带下 鼻衄 疟 急性湿疹,《高原中草药治疗手册》 
9800,金盏银盘,黄花雾、黄花母、虾箝草、金杯银盏、黄花草、金盏银盆、玉盏载银杯、鬼针草、婆婆针、感暑草、盲肠草、一包针、一把针、引线包、豆渣菜、金丝苦令、草鞋坪,平、苦、甘、淡,脾、胃、大肠,疏表、清热、解毒、散瘀,流感、乙脑、咽喉肿痛、肠炎、痢疾、黄疸、肠痈、小儿惊风、疳积、疮疡疥痔,咽喉肿痛 痢不止 黄疸 肠痈 小儿惊痫 疳 疮疥,《广东中药》Ⅱ
9900,毛蒌,小毛蒌、小墙风、野芦子、绒毛胡椒,温、辛, ,祛风、止痛、活血、行气,风湿性痹痛、风寒头痛、胃脘痛、疝气、痛经、跌打损伤,寒湿 寒邪 头痛 胃脘胀痛 疝气 经前腹痛 跌打损伤,《广西本草选编》
10000,罗汉果叶,missing,凉、苦,心,清热、解毒、热解毒,missing,,《广西药植名录》
10100,红天葵,紫背天葵、红叶、散血子、龙虎叶、夜渡红、红水葵,凉、涩、甘、淡、酸、毒,肝、肺,清热、润肺、凉血、止咳、活血、解毒、热解毒,暑热高烧、肺热咳嗽、咯血、跌打扭伤、血瘀疼痛、疮毒疥癣、水火烫伤,气怒肺热 咳嗽 咯血 跌仆 血瘀 疼痛,"《广西药植名录》,《常用中草药手册》,《常用中草药彩色图谱》,《广西实用中草药新选》"
10200,红头小仙,毛干药、甲冬仗、那猪草、紫背倒提壶,平、苦,肺,清热、止咳、解毒、化痰、热解毒,风热咳喘、头痛、鼻渊、胸膜炎、乳腺炎,热毒 咳喘 头痛,"《广西药植名录》,《昆明民间常用草药》"
10300,吹风散,水灯盏、细风藤、红大风藤、红十八症、大钻、冷饭藤、饭团藤,温、甘,肺、脾、肾、胃,祛风、止痛、行气、和肠胃、祛风湿,感冒、风湿痹痛、腹泻、呕吐、跌打损伤,感冒 寒湿 腹泻 干呕 跌打损伤,"《广西药植名录》,《文山中草药》?"
10400,黄花夹竹桃叶,missing,平、温、苦、涩、辛、毒,心,消肿、解毒、强心、解毒消,蛇头疮、痈疽,痈,《广西药植图志》
10500,细花丁香蓼,小花水丁香,凉、淡,肝、肺,清热、去腐、解毒、生肌、热解毒,疗火毒疮痈、疖肿、咽喉肿痛,痈 疖 咽喉肿痛,《广西植物名录》
10600,穿心草,穿钱草、顶心风、穿心莲、狮子草,凉、平、苦、甘、毒,肝、肺、脾、胃,止痛、清热、活血、解毒、热解毒,肺热咳嗽、肝炎、钩端螺旋体病、黄痘、胸痛、胃痛、跌打内瘀、毒蛇咬伤,气怒肺热 咳嗽 胸痛 跌仆,《广西中草药》
10700,麻疯树,青桐木、羔桐、臭油桐、小桐子、黄肿树、假白榄、芙蓉树、滑挑树、桐油树、水漆、木花生、假花生、白油果、亮桐、吗洪罕,寒、涩、毒,肝、心,敛疮、凉血、消肿、止血、散瘀、止痒,跌打肿痛、骨折、创伤、皮肤痊痒、湿疹、急性胃肠炎,跌仆 肿痛 急性湿疹,《广西中草药》
10800,窿缘桉叶,小叶桉、风吹,凉、苦、辛,脾,燥湿、解毒、杀虫、止痒,皮肤湿疹、疥疮、手足癣,急性湿疹,《广西中药志》
10900,小百部,门冬薯、石刁柏、芦笋、山文竹、细叶百部、索罗罗,温、苦、甘、辛、毒,肺,润肺、止咳、杀虫、止痒,肺燥咳嗽、蛔虫、疥癣、蛲虫,干嗽 蛔虫,《广西中药志》
11000,百部还魂,还魂草、狗笠耳,平、苦,肝, ,跌打损伤、乳疮、蜈蚣咬伤,跌打损伤,"《广西中药志》,《广西药植名录》"
11100,刺桐叶,missing,温、甘,胃,消积、杀虫,小儿疳积、蛔虫症,小儿疳 蛔虫,《广州部队常用中草药手册》
11200,黄龙船花,missing,凉、甘,肝、胃,平肝、凉血、活血、止血、潜阳、祛瘀、平肝潜、活血祛,月经不调、痛经、闭经、胃痛、崩漏、跌打损伤、肝阳上亢、头晕目眩、面赤、高血压,月经不调 经前腹痛 月经不通 崩中漏下 跌打损伤 眩晕 头目眩晕 面色发红,《广州植物志》
11300,刺瓜米草,刺梭罗,凉、苦、辛,肝、膀胱,清热、驱风、利尿,风湿性关节炎、小便赤,寒湿 小便短赤,《贵州草药》
