,功效词根,亲友团
99,续筋,活血、止血、止痛、续骨、解毒、消肿、清热
100,退黄,清热、解毒、利尿、利胆、止咳、消肿、止血
101,壮骨,活血、祛风、补肾、壮筋、止血、止痛、除湿
102,拔毒,清热、生肌、止痛、止痒、杀虫、散结、排脓
103,疏肝,止痛、解郁、解毒、和胃、和解、清热、行气
104,降压,解毒、利尿、祛风、平肝、消肿、止痛、止咳
105,解暑,消肿、解毒、利湿、化湿、止血、利尿、发汗
106,温肾,止痛、行气、活血、止血、散寒、助阳、解毒
107,通乳,清热、利尿、活血、祛风、益气、排脓、止咳
108,降逆,止咳、化痰、行气、和胃、止痛、清热、解毒
109,补肝肾,祛风湿、活血、安胎、强腰膝、止痛、止血、解毒
110,养心,止咳、活血、清热、止血、解毒、益气、祛风
111,散热,解毒、止痛、祛风、消肿、明目、活血、化痰
112,固精,缩尿、止血、健脾、涩肠、止带、祛风、益气
113,定痛,消肿、活血、散瘀、解毒、清热、止咳、化痰
114,清湿热,止痛、活血、解疮毒、杀虫、泻火、消肿毒、解热毒
115,熄风,平肝、解毒、镇惊、止痉、止血、止痛、活血
116,解热,止痛、祛风、散瘀、生津、除湿、疏风、止渴
117,定喘,止咳、清热、祛痰、止痛、祛风、生津、截疟
118,镇咳,解毒、止痛、平喘、止血、清热、止泻、活血
119,导滞,行气、消积、健脾、解毒、清热、消肿、泻下
120,益精,养血、解毒、止血、明目、消肿、止咳、润肺
121,化积,解毒、清热、健脾、祛风、消肿、活血、散瘀
122,镇静,解毒、清热、止痛、止血、止咳、活血、祛痰
123,破血,行气、消肿、通经、逐瘀、解毒、消积、攻毒
124,温经,散寒、止血、通络、活血、祛风、除湿、行气
125,息风,解毒、止痉、平肝、消肿、止痛、活血、止咳
126,下乳,清热、解毒、活血、消肿、止咳、利水、止痛
127,退热,和解、清热、疏肝、解郁、解毒、消炎、升提
128,止痉,息风、清热、通络、解毒、熄风、止痛、化痰
129,补肺,益肾、止血、健脾、解毒、清热、消肿、利湿
130,退翳,清热、解毒、祛风、消肿、止痒、透疹、利湿
131,潜阳,滋阴、散结、安神、清热、止血、软坚、明目
132,利胆,解毒、清肝、退黄、疏肝、止痛、止咳、利尿
133,降气,止咳、平喘、清热、祛痰、消肿、祛风、解毒
134,行水,解毒、清热、活血、止咳、散瘀、消食、下气
135,敛肺,涩肠、活血、止泻、解毒、止痛、止血、平喘
136,解郁,理气、安神、退热、和解、活血、化痰、舒肝
137,宁心,解毒、止咳、祛痰、清热、消肿、散瘀、益气
138,和血,调经、祛风、止血、止咳、理气、安神、止痢
139,利小便,解毒、祛风湿、活血、止痛、凉血、散结、补血
140,胜湿,止痛、散寒、解毒、发表、消肿、活血、散瘀
141,消疳,清热、止痛、止血、除湿、解毒、活血、散瘀
142,泻下,逐水、解毒、杀虫、导滞、清热、通便、散瘀
143,通经络,止痛、活血、健脾、消肿、祛风、止咳、消积
144,益胃,生津、养阴、解毒、清肺、清神、清热、润肺
145,清心,润肺、安神、清热、生津、养阴、解毒、明目
146,涩精,补肾、健脾、益气、敛疮、止带、解毒、清热
147,补益,解毒、止血、利水、脾胃、活血、生肌、平喘
148,润肤,祛风、生肌、杀虫、润肌、清热、止痛、补虚
149,疗伤,化瘀、接骨、清热、祛风、止血、除湿、止痛
150,滋补强壮,止咳、祛风、止血、解毒、活血、除湿、消肿
151,行瘀,解毒、止血、止痛、消肿、凉血、化痰、破血
152,缩尿,补肾、健脾、解毒、活血、明目、止带、益气
153,收涩,止痛、清热、活血、止痢、消肿、敛疮、止泻
154,开窍,解毒、祛痰、清热、消肿、祛风、化痰、醒神
155,收湿,清热、止血、解毒、止痒、杀虫、生肌、止痛
156,降血压,清热、消肿、止血、止痛、祛风、止咳、除湿
157,消痰,软坚、解毒、利水、散结、止痛、祛风、活血
158,抗癌,消肿、止咳、清热、活血、止血、健脾、消积
159,助阳,祛风、除湿、温肾、散寒、温中、活血、止血
160,温肺,祛风、止咳、散寒、化痰、化饮、除湿、健脾
161,催吐,杀虫、祛痰、止痛、止血、泻下、消肿、利尿
162,养胃,滋阴、润肺、除热、止咳、清热、健脾、补肾
163,消瘀,清热、止痛、解毒、活血、消肿、除湿、凉血
164,宽中,化痰、行气、下气、散寒、消食、解毒、消肿
165,清暑,利湿、利尿、解表、和胃、止渴、止痛、消肿
166,攻毒,止痛、散结、破血、逐瘀、祛风、祛瘀、通便
167,顺气,化痰、祛风、活血、清热、止血、消食、泻火
168,续伤,止痛、祛风、解毒、活血、止血、除湿、消肿
169,止汗,固表、止血、利水、解毒、生肌、益气、敛疮
170,驱风,解毒、清热、止痛、活血、行气、消肿、散寒
171,逐水,解毒、泻下、杀虫、散结、散瘀、利尿、破瘀
172,行血,消肿、祛风、除湿、调经、解毒、活血、活络
173,滑肠,活血、通便、利水、清热、调经、止痛、化痰
174,破瘀,消积、消肿、清热、止痛、祛风、活血、散结
175,解痉,祛风、镇痛、解毒、清热、止血、消肿、活血
176,滋补,活血、消肿、解毒、止痛、祛风、除湿、健脾
