Label,名称,Taste,Type
0.0,木槿子,平、苦、涩,脾、肝
0.0,滇列当,温、甘,missing
0.0,木棉花,温、苦、辛、毒,脾、肝
0.0,牧马豆,温、涩、辛,脾、肝
0.0,滇五味,温、甘、酸,肺、心、肾
0.0,茉莉叶,温、甘、辛,脾、肝
0.0,水苦荬根,寒、苦、辛,肺
0.0,麦饭石,寒、苦,肺、心、大肠、肝
0.0,马钱子粉,凉、甘,肺、膀胱、肝
0.0,软枣子,寒、甘、酸,胃
0.0,深紫木蓝,寒、甘,肝
0.0,山油麻,凉、苦,肺、肝
0.0,软皮树,温、甘、辛、毒,missing
0.0,砾玄参,凉、辛,肺
0.0,乳花,温、甘、毒,missing
0.0,风车藤,温、苦、涩,肾
0.0,柿蒂 ,平、温、苦、涩、毒,肺、胃
0.0,绒仙人球,凉、甘,胃、脾
0.0,荔枝根,凉、苦,肺、心、膀胱、肾
0.0,狨,温、甘、酸,大肠
0.0,凤凰木,寒、甘、淡,肝
0.0,蚺蛇胆,寒、甘、毒,脾、肝
0.0,凤尾参,温、苦、甘,missing
0.0,鹭肉,寒、苦,肺
0.0,石萝摩,凉、苦,胆、肝
0.0,山楂,温、甘、酸、毒,肺、胃、脾、肝
0.0,凤仙花,温、苦、甘,missing
0.0,山羊油,温、甘,心
0.0,山羊血,温、咸、甘,心、肝
0.0,双花兜兰,平、辛,脾、肝
0.0,山羊肉,热、甘,肾
0.0,马蔺子,凉、苦,肺、大肠、肝
0.0,佩兰,平、苦、甘,肾、肝
0.0,凫肉,凉、甘,胃、脾
0.0,蓬莪术,温、咸、甘,肾、肝
0.0,枇杷根,温、咸、甘,肾、肝
0.0,三叶海棠,温、酸,胃、脾
0.0,五眼果树皮,平、咸、甘,肺、心、脾、肾
0.0,豆腐,凉、甘,大肠、胃、脾
0.0,五爪金龙花,平、苦、辛,心、脾
0.0,山苏木,平、苦、辛,肺、心、膀胱、肝
0.0,细叶马料梢,凉、涩,脾
0.0,豆黄,温、甘,胃、脾
0.0,三角叶风毛菊,温、苦、甘,missing
0.0,豆油,温、甘、辛,大肠
0.0,杜父鱼,温、甘,胃、脾
0.0,吐铁,温、辛,胃、膀胱、脾、肾、肝
0.0,小粉,凉、苦,肝
0.0,杜鹃花果实,温、甘、辛,missing
0.0,山瑞鳖,寒、咸,肾、肝
0.0,小叶金老梅,凉、苦,心、小肠、膀胱
0.0,杏树根,凉、苦、辛,肾、肝
0.0,三对叶丹参,温、苦、甘,心、肾、肝
0.0,灯蛾,温、咸,肺
0.0,树状软骨藻,寒、咸,大肠、胃
0.0,三白草根,寒、甘、辛,大肠、膀胱、脾
0.0,珊瑚姜,温、苦、辛,肝
0.0,水麻芀,平、淡,胃
0.0,小麦苗,寒、甘,missing
0.0,土百部,平、甘,大肠、胃、脾
0.0,铁马豆,平、甘,脾、肾
0.0,棠梨枝叶,温、苦、辛,肺、脾
0.0,少果吴茱萸,热、苦、辛、毒,胃、脾
0.0,湿地匐灯藓,凉、淡,肺、肝
0.0,山稔子,平、涩、甘,脾、肾、肝
0.0,敦盛草,温、苦、毒,膀胱、肾
0.0,山桂花,温、涩、甘,肝
0.0,断节参,温、苦、甘,肾、肝
0.0,千年耗子屎种子,平、咸、甘,肾、肝
0.0,舌瓣鼠尾草,温、辛,肾、肝
0.0,山马蝗,missing,肺、脾
0.0,山峰西番莲,温、苦、甘,missing
0.0,倒卵叶五加,温、苦、甘,missing
0.0,蚯蚓,凉、苦,胃、肝
0.0,都拉,温、苦、甘,肺、脾、肾
0.0,人参,凉、甘、碱,肺、心、肝
0.0,水益母,平、淡、毒,肺、大肠
0.0,人血七,平、甘、辛,心、脾、肝
0.0,毒芹根,温、甘、辛、毒,missing
0.0,省雀花,温、涩、酸、毒,肾、肝
0.0,独行千里,温、苦、涩、毒,心、胃
0.0,山地麻蜥,温、咸、辛,心、肝
0.0,盾叶莓,温、咸、酸,肾
0.0,山马豆根,寒、苦,肺、胃
0.0,十八症,凉、淡,肝
0.0,枇杷,温、辛,肾、肝
0.0,米皮糠,温、甘、辛,大肠、胃
0.0,红血藤,温、甘,肝
0.0,大叶菜,温、涩,肺
0.0,橘白,温、苦、甘、辛,胃
0.0,过腰蛇,温、辛,肝
0.0,感应草,平、苦、甘,肺、脾
0.0,桂林槭,平、甘,missing
0.0,黑种草,温、甘、辛,肺、心
0.0,高枝小米草,寒、苦,肺、肝
0.0,金背枇杷,平、苦,肺、胃
0.0,苦瓜子,温、苦、甘,missing
0.0,广东大青,温、甘,肾、肝
0.0,广叶星蕨,寒、甘,膀胱、脾、肾
0.0,橘饼,温、甘、辛,肺、胃、脾
0.0,光滑黄皮,凉、辛,肺
0.0,广西艾麻,温、辛,胃、肝
0.0,苦白蹄,温、苦、甘、毒,missing
0.0,滑石,寒、甘、淡、毒,胃、膀胱
0.0,空青,寒、甘、酸、毒,肝
0.0,蚶,温、甘,胃、脾
0.0,甘肃天门冬,寒、苦、甘,肺
0.0,骨碎补毛,平、甘,肝
0.0,梗花华西龙头草,平、苦,大肠
0.0,桂竹香,平、苦、辛,大肠、肾、肝
0.0,黄背草,温、甘,肝
0.0,狗爪豆,温、苦、甘、毒,胃、脾、肾、肝
0.0,款冬花,温、甘、辛,肺
0.0,广花耳草,温、苦、辛,肾、肝
0.0,金不换,寒、苦,肺、心、胃、脾
0.0,鸡肠狼毒,寒、苦、麻、毒,胃、膀胱
0.0,黑萼棘豆,温、甘,膀胱、脾、肾
0.0,节瓜,甘、淡,肺、小肠、脾
0.0,菽麻,寒、苦,膀胱、肝
0.0,黄叶耳草,温、苦、辛,肾、肝
0.0,黄姑鱼鳔,温、咸、甘,肾
0.0,黑骨头,温、甘、辛、毒,missing
0.0,酱瓜,寒、甘,胃、脾
0.0,黄花漏芦,寒、苦,心
0.0,鲛鱼胆,寒、苦,胃
0.0,红苕母子,平、甘,脾
0.0,合子草,甘、淡、毒,肺、胃、肾
0.0,荷包藤,寒、苦,肝
0.0,蕨,寒、甘,大肠、胃、脾、肝
0.0,黑皮跌打,温、甘,肾、肝
0.0,菊三七,温、苦、甘、淡、毒,脾、肝
0.0,黑毛七,凉、苦、毒,心、膀胱
0.0,见水蓝,寒、甘,肺、肝
0.0,黑乳菇,温、甘、辛,missing
0.0,鲫鱼头,温、甘,肺、大肠
0.0,鲫鱼脑,温、甘,肾
0.0,红花苗,温、辛,心、脾
0.0,葫芦七,温、甘、辛,肺、肝
0.0,蝌蚪,寒、甘,脾
0.0,假叶白齿藓,凉、淡,肝
0.0,广西来江藤,平、辛,肺
0.0,黄花木,寒、甘、淡,大肠、肝
0.0,翡翠贻贝,温、咸、甘,脾、肾、肝
0.0,苦瓠叶,平、苦,心
0.0,兰花双叶草,温、甘、毒,肺、膀胱、肾
0.0,兰花石参,温、甘,肺、肝
0.0,列当,温、甘,大肠、肾、肝
0.0,蝮蛇胆,寒、苦、毒,肝
0.0,福建轮环藤,温、甘,脾、肾
0.0,非洲戴星草,寒、苦,胃、膀胱
0.0,卵叶贝母兰,凉、甘、淡,肺、胃、肾
0.0,丰满凤仙花,寒、苦,心、肝
0.0,釜脐墨,温、苦、辛、毒,脾、肝
0.0,芙蓉麻,平、苦,肾、肝
0.0,复叶披麻草根,寒、苦,肺、肝
0.0,风车儿,平、甘,肾
0.0,耳形金毛裸蕨,寒、苦,肝
0.0,芦荟根,凉、甘、淡,胃、膀胱、脾
0.0,灵砂,温、甘、毒,心、胃
0.0,灵猫肉,温、甘,胃
0.0,鄂西粗筒苣苔,平、苦,肺、脾
0.0,黄皮果,温、甘、辛、酸,肺、胃
0.0,二色补血草,平、温、苦、涩、甘、淡、毒,胃、脾
0.0,宽苞翠雀花,温、辛,肾、肝
0.0,缝纹绿芫青,平、咸、辛,肝
0.0,龙齿,凉、涩、甘,心、肝
0.0,龙船花,凉、甘、淡,肝
0.0,六月瓜,温、甘,肾、肝
0.0,光萼斑叶兰,温、苦、辛,肝
0.0,龙爪树,温、苦、甘,missing
0.0,狗舌草根,寒、苦,膀胱、肾、肝
0.0,龙眼肉,温、甘,心、脾、肾、肝
0.0,龙眼壳,温、甘,肺
0.0,桂花子,温、甘、辛,胃、肝
0.0,黄鲴鱼,甘,胃
0.0,黄瓜,凉、甘,肺、胃、脾
0.0,剪花火绒草,寒、苦,肾、肝
0.0,龙须参,温、甘,missing
0.0,龙涎香,温、涩、甘、酸,肺、心、肾、肝
0.0,龙虾,温、咸、甘,missing
0.0,龙舌箭,温、苦,胃、肾
0.0,假楼梯草,寒、甘,肺
0.0,龙脑膏香,温、苦,肾
0.0,黄颔蛇,温、甘、毒,肝
0.0,黄颔蛇骨,温、甘,脾
0.0,黄颔蛇头,温、甘,心、脾
0.0,管角螺,寒、苦、涩,脾、肾
0.0,番茄,寒、甘、酸,胃、脾
0.0,假茼蒿,平、辛、毒,肺、大肠、膀胱、脾、肾
0.0,龙船乌泡,凉、涩、甘、毒,脾
0.0,火焰花,寒、苦,心、肝
0.0,黑大豆皮,凉、甘,肺、脾、肾
0.0,芫荽子,平、辛、酸、毒,肺、大肠、胃、脾
0.0,华苘麻,凉、苦、辛,肝
0.0,鸡爪芋,温、甘、辛,missing
0.0,海莲,温、涩,大肠
0.0,黄花烟草,平、苦、毒,胃
0.0,鸡子白,凉、甘,肺、脾
0.0,海带,寒、凉、苦、咸、甘、毒,missing
0.0,角叉菜,寒、咸、甘,大肠、胃
0.0,黄花远志,平、温、甘、辛,肺、心、肾、肝
0.0,虎奶菌,温、甘,脾、肝
0.0,金雀儿,温、甘,心
0.0,黄槐决明,寒、苦、甘,大肠
0.0,红背兔儿风,温、甘、辛,肺、肝
0.0,金钱白花蛇,温、咸、甘、毒,脾、肝
0.0,花叶假杜鹃,温、苦、辛,心、肝
0.0,金猫头,温、甘、淡,missing
0.0,华西龙头草,温、辛,肺
0.0,金兰,寒、甘,肝
0.0,吉利子树,温、苦、甘,missing
0.0,金橘,温、甘、辛,肺
0.0,藿香根,温、辛,脾
0.0,夹蛇龟肉,寒、甘、毒,肝
0.0,红田乌草,凉、甘、酸、毒,肺、胃、肝
0.0,尖齿耳蕨,温、甘,胃
0.0,海南虎皮楠,平、苦、涩,肺、肝
0.0,鸡爪参,温、甘,missing
0.0,鸡掌七,温、涩、甘,肺、心
0.0,华南蒲桃,涩、酸,胃
0.0,胡桃树皮,苦、涩、毒,膀胱、脾、肝
0.0,鸡肝,温、甘,脾、肾、肝
0.0,鸡冠花,凉、甘、毒,肾、肝
0.0,鸡冠子,凉、甘,大肠、肝
0.0,鸡翮羽,温、甘,肾、肝
0.0,鸡蛋参,温、苦、甘,missing
0.0,黄背勾儿菜,凉、苦、辛,肺、大肠、肝
0.0,驹胞衣,温、咸、甘,肾、肝
0.0,黄花蒿子,凉、辛、毒,肺、胃
0.0,鸡肉,温、甘,胃、脾
0.0,黄泡果,平、酸,肾
0.0,鸡肾参,温、甘、辛,肾
0.0,鹤草芽,寒、苦,大肠
0.0,金银花露,寒、甘,心、胃、脾
0.0,华粉绿藤,寒、苦,肾、肝
0.0,黄杨木叶,平、苦,肝
0.0,鸡头,温、甘,肾、肝
0.0,黄花夹竹桃叶,平、温、苦、涩、辛、毒,心
0.0,金线兰,凉、甘,肺、膀胱、肾、肝
0.0,红花隔距兰,寒、苦、辛,肝
0.0,红色新日蕨,温、甘,脾、肝
0.0,黄花石斛,寒、甘,胃、肾
0.0,鸡血藤,温、苦、甘,心、脾
0.0,蛔虫草,平、苦、辛,大肠、小肠
0.0,莲叶点地梅,平、苦、辛,肝
0.0,黄斑鲾,平、咸、甘,胃、脾
0.0,花刺参,温、咸、甘,肺、心、肾
0.0,衡州乌药,温、甘、辛,脾、肾
0.0,灰星鲨皮,温、甘,胃、脾
0.0,胶质鼠尾草,温、涩、甘,missing
0.0,桦菌芝,平、苦、淡,胃、脾
0.0,家白蚁,温、咸、甘,脾、肾、肝
0.0,虎图辣,热、苦、辛、毒,胃
0.0,蟪蛄蜕,寒、甘,肺、肝
0.0,菊花参,温、苦、甘,missing
